external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
0.9999747276306152,3.5948530694440706e-06,3.964564257330494e-06,4.300958153180545e-06,2.6242930744047044e-06,1.0086208021675702e-05,6.87181341163523e-07
0.9926804900169373,0.002828433411195874,0.0004615791840478778,0.00014783928054384887,0.0007799749146215618,0.003022058168426156,7.955518958624452e-05
0.9999483823776245,1.0909707270911895e-05,1.1616180017881561e-05,4.583681857184274e-06,3.3780581816245103e-06,2.0230403606547043e-05,8.520713095094834e-07
0.999971866607666,6.095493972679833e-06,3.8461180338345e-06,3.2607667890260927e-06,2.1189619019423844e-06,1.2084176887583453e-05,6.533279588438745e-07
0.9999769926071167,2.188326561736176e-06,2.2809961137681967e-06,6.738732736266684e-06,3.3015053304552566e-06,7.465217549906811e-06,9.598459200788056e-07
0.9999539852142334,1.6025343938963488e-05,6.155436039989581e-06,3.720313770827488e-06,3.3046298995031975e-06,1.6049662008299492e-05,7.814437594788615e-07
0.9999608993530273,7.0188179961405694e-06,7.705290954618249e-06,4.8282850002578925e-06,3.173298409819836e-06,1.541146957606543e-05,8.972733667178545e-07
0.9999749660491943,3.3372382404195378e-06,3.5636760458146455e-06,3.926838417100953e-06,2.462490556354169e-06,1.107050138671184e-05,6.601341056011734e-07
0.9999725818634033,4.031392109027365e-06,3.644101980171399e-06,3.2064640436146874e-06,2.194896069340757e-06,1.3692731954506598e-05,6.112725827733811e-07
0.9999622106552124,3.918139555025846e-06,7.355542038567364e-06,5.050546405982459e-06,2.2558251657756045e-06,1.8286593331140466e-05,9.098916393668333e-07
0.6148754358291626,0.384111613035202,0.0002360175858484581,5.889364183531143e-05,0.00018752182950265706,0.0005060666589997709,2.4457165636704303e-05
0.9997541308403015,8.694441930856556e-05,2.7472373403725214e-05,4.952079962095013e-06,5.264574156171875e-06,0.00011816549522336572,2.998822765221121e-06
0.9999740123748779,3.1943272915668786e-06,2.8054134872945724e-06,3.7776894714625087e-06,3.1613847113476368e-06,1.163755587185733e-05,1.3235023743618513e-06
0.9998574256896973,5.2197348850313574e-05,2.5534820451866835e-05,5.446172963274876e-06,5.555772077059373e-06,5.2169376431265846e-05,1.6631860262350529e-06
0.9999473094940186,5.0832236411224585e-06,5.828156190545997e-06,4.833867933484726e-06,5.152638095751172e-06,2.9604534574900754e-05,2.2178680865181377e-06
1.520079564443222e-07,1.0890088333326275e-06,3.372252422195743e-06,3.873672994814115e-06,0.9999792575836182,8.734212315175682e-06,3.5850232507073088e-06
